net,length_um
genblk1\[26\].csa.hsum2,3.08
genblk1\[7\].csa.hsum2,3.08
net36,3.08
_119_,2.96
_155_,2.96
_161_,2.96
_007_,2.925
_035_,2.84
_046_,2.84
_061_,2.84
_086_,2.84
_092_,2.84
_096_,2.84
genblk1\[25\].csa.hsum2,2.84
genblk1\[15\].csa.hsum2,2.765
_014_,2.74
_132_,2.71
genblk1\[16\].csa.hsum2,2.64
_010_,2.62
_104_,2.62
_115_,2.62
genblk1\[11\].csa.hsum2,2.62
_110_,2.52
_051_,2.5
_073_,2.5
_107_,2.5
net35,2.5
_066_,2.43
_034_,2.38
_038_,2.38
_041_,2.38
_047_,2.38
_050_,2.38
_057_,2.38
_064_,2.38
_079_,2.38
_083_,2.38
_087_,2.38
_089_,2.38
_093_,2.38
_094_,2.38
_095_,2.38
_019_,2.3
_022_,2.28
_037_,2.28
genblk1\[1\].csa.hsum2,2.28
genblk1\[21\].csa.hsum2,2.28
genblk1\[22\].csa.hsum2,2.28
genblk1\[24\].csa.hsum2,2.28
_040_,2.23
_045_,2.23
_056_,2.23
_069_,2.23
_076_,2.23
_078_,2.23
_080_,2.23
_088_,2.23
_090_,2.23
_058_,2.21
_015_,2.18
_126_,2.18
_136_,2.18
_139_,2.18
_186_,2.18
csa0.hsum2,2.18
_006_,2.16
_052_,2.16
_177_,2.16
_171_,2.04
_011_,1.84
_147_,1.84
_026_,1.82
_059_,1.82
_060_,1.82
_065_,1.82
_067_,1.82
_077_,1.82
_081_,1.82
_084_,1.82
_085_,1.82
_091_,1.82
genblk1\[9\].csa.hsum2,1.82
genblk1\[5\].csa.hsum2,1.7
_001_,1.36
_033_,1.36
_043_,1.36
_044_,1.36
_053_,1.36
_062_,1.36
_070_,1.36
genblk1\[17\].csa.hsum2,1.36
genblk1\[4\].csa.hsum2,1.36
_112_,0.92
_118_,0.92
_138_,0.92
